Duhok,PGA,Ss,S1
Akre,0.5,0.8,0.2
Amedi,0.6,0.8,0.2
Duhok,0.5,0.6,0.2
Semel,0.4,0.6,0.2
Shekhan,0.4,0.6,0.2
Zakho,0.5,0.7,0.2
Erbil,PGA,Ss,S1
Choman,0.6,0.8,0.2
Erbil,0.4,0.6,0.2
Koysinjaq,0.5,0.6,0.2
Makhmur,0.4,0.5,0.2
Mergasur,0.6,0.8,0.2
Shaqlawa,0.5,0.7,0.2
Soran,0.6,0.8,0.2
Kirkuk,PGA,Ss,S1
Kirkuk,0.4,0.6,0.2
Sulaymaniyah,PGA,Ss,S1
Chamchamal,0.4,0.6,0.2
Darbandikhan,0.5,0.7,0.2
Dukan,0.5,0.8,0.2
Halabja,0.5,0.7,0.2
Kalar,0.5,0.6,0.2
kfri,0.5,0.7,0.2
Penjwin,0.6,0.7,0.2
Qaladza,0.6,0.8,0.2
Ranya,0.6,0.8,0.2
Sharbazher,0.6,0.8,0.2
Sulaymaniyah,0.5,0.7,0.2
